model,horizon,observations,mae,rmse,mse_variance,variance_bias,mean_qlike,mz_intercept,mz_slope,mz_r_squared,directional_accuracy_vs_market_iv,directional_observations
realized_60,3,1092,7.51568071709289,10.810920474874573,0.006090259650928724,0.00024336069237953584,0.8058806170629113,0.014813285373515879,0.5131085788135596,0.03184964697650339,,0.0
realized_60,5,1090,6.351268614182365,9.555834126523745,0.0043078191016519924,0.00016251805606484307,0.5512883576736002,0.016435133893862378,0.463620399409026,0.03740260538052553,,0.0
realized_60,10,1085,5.601581429569005,8.610680573987374,0.002706513997217715,0.00043503325901369854,0.4217312020575139,0.018207731598095977,0.39858609274305684,0.0461884729618266,,0.0
simple_ensemble,1,1094,9.251768813448376,12.460821305535445,0.009139871500277497,-0.0014491544779630637,1.6104984762599717,0.006877036187492704,0.809457845295035,0.057744639052429436,,0.0
simple_ensemble,2,1093,8.716767912636453,12.187057969132942,0.011266183369683533,-0.002799173367212529,1.4103077601483638,0.0049672928269332405,0.9235653393658577,0.057560496922157034,,0.0
simple_ensemble,3,1092,6.842075825708096,9.847066965210246,0.005528847584215928,-0.0016734890757323906,0.7325273628538842,0.005814646987361848,0.8572368102926112,0.09823531288170717,,0.0
simple_ensemble,5,1090,5.746285757692619,8.614867267279335,0.003864522523109341,-0.0010572646762851312,0.47144271374951763,0.008841218093422712,0.7381262682508586,0.10502360480266437,,0.0
simple_ensemble,10,1085,5.059996788176499,7.704533644673229,0.0024084959564789035,-0.00032081175897743613,0.343119244569829,0.012588378370127438,0.5943584539028078,0.10784244721464065,,0.0
sparse_blend,1,1094,9.788996021204484,13.217122859130454,0.00961668634725492,0.002077629593597487,1.6509833221623085,0.013415835872696048,0.5160303210953181,0.04518191911657454,,0.0
sparse_blend,2,1093,9.156122224023088,12.833379986852838,0.011741632054046899,0.00012048678476249259,1.445705683408523,0.013263243163586262,0.5722041313705659,0.037851964703887075,,0.0
sparse_blend,3,1092,7.38543895335451,10.654124503734737,0.006060444797830097,0.0008293110825859409,0.7896349067875794,0.014358559702166962,0.5179981244722476,0.06078460671610697,,0.0
sparse_blend,5,1090,6.174813513973525,9.451348416997167,0.0043817022742914736,0.0007783622039857366,0.5192786848033439,0.016513041347108095,0.45210491014459087,0.063786001141248,,0.0
sparse_blend,10,1085,5.4891555912966705,8.65055007888444,0.0028974957651133203,0.0012182873078789406,0.3947721944367366,0.018803923919998806,0.3700038347414564,0.07013387761679879,,0.0
