ticker,date,close,source
QQQ,2022-11-25,286.920000,robinhood_equity_day
QQQ,2022-11-28,282.710000,robinhood_equity_day
QQQ,2022-11-29,280.570000,robinhood_equity_day
QQQ,2022-11-30,293.360000,robinhood_equity_day
QQQ,2022-12-01,293.720000,robinhood_equity_day
QQQ,2022-12-02,292.550000,robinhood_equity_day
QQQ,2022-12-05,287.640000,robinhood_equity_day
QQQ,2022-12-06,281.680000,robinhood_equity_day
QQQ,2022-12-07,280.530000,robinhood_equity_day
QQQ,2022-12-08,283.850000,robinhood_equity_day
QQQ,2022-12-09,282.040000,robinhood_equity_day
QQQ,2022-12-12,285.580000,robinhood_equity_day
QQQ,2022-12-13,288.650000,robinhood_equity_day
QQQ,2022-12-14,286.510000,robinhood_equity_day
QQQ,2022-12-15,276.890000,robinhood_equity_day
QQQ,2022-12-16,274.250000,robinhood_equity_day
QQQ,2022-12-19,269.750000,robinhood_equity_day
QQQ,2022-12-20,269.540000,robinhood_equity_day
QQQ,2022-12-21,273.450000,robinhood_equity_day
QQQ,2022-12-22,266.760000,robinhood_equity_day
QQQ,2022-12-23,267.360000,robinhood_equity_day
QQQ,2022-12-27,263.580000,robinhood_equity_day
QQQ,2022-12-28,260.100000,robinhood_equity_day
QQQ,2022-12-29,266.440000,robinhood_equity_day
QQQ,2022-12-30,266.280000,robinhood_equity_day
QQQ,2023-01-03,264.480000,robinhood_equity_day
QQQ,2023-01-04,265.740000,robinhood_equity_day
QQQ,2023-01-05,261.580000,robinhood_equity_day
QQQ,2023-01-06,268.800000,robinhood_equity_day
QQQ,2023-01-09,270.540000,robinhood_equity_day
QQQ,2023-01-10,272.830000,robinhood_equity_day
QQQ,2023-01-11,277.550000,robinhood_equity_day
QQQ,2023-01-12,279.050000,robinhood_equity_day
QQQ,2023-01-13,280.970000,robinhood_equity_day
QQQ,2023-01-17,281.540000,robinhood_equity_day
QQQ,2023-01-18,277.880000,robinhood_equity_day
QQQ,2023-01-19,275.150000,robinhood_equity_day
QQQ,2023-01-20,282.680000,robinhood_equity_day
QQQ,2023-01-23,288.960000,robinhood_equity_day
QQQ,2023-01-24,288.370000,robinhood_equity_day
QQQ,2023-01-25,287.730000,robinhood_equity_day
QQQ,2023-01-26,293.340000,robinhood_equity_day
QQQ,2023-01-27,296.260000,robinhood_equity_day
QQQ,2023-01-30,290.270000,robinhood_equity_day
QQQ,2023-01-31,294.620000,robinhood_equity_day
QQQ,2023-02-01,300.920000,robinhood_equity_day
QQQ,2023-02-02,311.720000,robinhood_equity_day
QQQ,2023-02-03,306.180000,robinhood_equity_day
QQQ,2023-02-06,303.590000,robinhood_equity_day
QQQ,2023-02-07,309.880000,robinhood_equity_day
QQQ,2023-02-08,304.370000,robinhood_equity_day
QQQ,2023-02-09,301.680000,robinhood_equity_day
QQQ,2023-02-10,299.700000,robinhood_equity_day
QQQ,2023-02-13,304.500000,robinhood_equity_day
QQQ,2023-02-14,306.750000,robinhood_equity_day
QQQ,2023-02-15,309.100000,robinhood_equity_day
QQQ,2023-02-16,303.300000,robinhood_equity_day
QQQ,2023-02-17,301.160000,robinhood_equity_day
QQQ,2023-02-21,294.030000,robinhood_equity_day
QQQ,2023-02-22,294.250000,robinhood_equity_day
QQQ,2023-02-23,296.820000,robinhood_equity_day
QQQ,2023-02-24,291.850000,robinhood_equity_day
QQQ,2023-02-27,293.940000,robinhood_equity_day
QQQ,2023-02-28,293.560000,robinhood_equity_day
QQQ,2023-03-01,291.200000,robinhood_equity_day
